"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"271",271,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"5th","Somewhat dissatisfied","Improved slightly","Does not meet original expectations","3","Less than an hour","6","41-50 hours","Somewhat disagree","Somewhat agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"272",272,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,NA,"Very satisfied","Improved greatly","Exceeds original expectations","6","Less than an hour","5","31-40 hours","Somewhat disagree","Somewhat disagree","Yes","Yes, it was helpful","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"273",273,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved greatly","Does not meet original expectations","7 = Extremely satisfied","Between one and three hours","6","71-80 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Yes","Another student","No","Yes","Religious discrimination"
"274",274,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of funding opportunities in my home country","No",NA,"5th","Somewhat dissatisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"275",275,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"Yes","To make myself more attractive to future employers","6th","Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","5","51-60 hours","Somewhat agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"276",276,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","1st","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","71-80 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"277",277,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Strongly disagree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"278",278,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","3rd","Neither satisfied nor dissatisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Neither agree nor disagree","Prefer not to say",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"279",279,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"8th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","2","Less than an hour","2","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"280",280,"18 - 24","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"5th","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","1 = Not at all satisfied","31-40 hours","Strongly disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"281",281,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"5th","Neither satisfied nor dissatisfied","Improved slightly","Does not meet original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Somewhat agree","Yes","Yes, it was helpful","Neither agree nor disagree",NA,"Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"282",282,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat dissatisfied","Worsened a little","Does not meet original expectations","1 = Not at all satisfied","Between one and three hours","3","41-50 hours","Somewhat disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Yes","Supervisor","Unsure","Yes","Age discrimination"
"283",283,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","No",NA,"4th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Prefer not to say",NA,NA,"Yes",NA
"284",284,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"3rd","Somewhat satisfied","Worsened a little","Does not meet original expectations","2","Less than an hour","7 = Extremely satisfied","51-60 hours","Neither agree nor disagree","Strongly agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","No",NA,NA,"No",NA
"285",285,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Family reasons","No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"286",286,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"Yes","To make myself more attractive to future employers","4th","Very satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","2","61-70 hours","Strongly disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"287",287,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Chance to pursue a specific research question","No",NA,NA,"Somewhat satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","3","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"288",288,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Somewhat satisfied","Improved slightly","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Between one and three hours","3","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Another student","No","Prefer not to say",NA
"289",289,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of quality PhD programmes in my home country","Yes","To help make ends meet","7th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","3","31-40 hours","Somewhat disagree","Somewhat agree","Yes","Yes, it was helpful","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"290",290,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Higher salaries post-study","No",NA,"8th","Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"291",291,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","Europe","Lack of PhD programmes in my subject of choice","No",NA,"4th","Very satisfied","Improved greatly","Meets original expectations","5","Less than an hour","2","61-70 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"292",292,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"Yes","Other, please specify","5th","Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","6","41-50 hours","Strongly disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"293",293,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"3rd","Very satisfied","Worsened a little","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","1 = Not at all satisfied","51-60 hours","Strongly disagree","Strongly agree","Yes","I didn’t seek help","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"294",294,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Europe",NA,"Yes","To develop additional skills","1st","Somewhat dissatisfied","Significantly worsened","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","6","41-50 hours","Strongly agree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"295",295,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved greatly","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","Prefer not to say","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree","Yes","Another student","No","Yes","Racial discrimination or harassment"
"296",296,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"5th","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Somewhat agree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"297",297,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Stayed the same","Meets original expectations","5","Less than an hour","2","61-70 hours","Somewhat disagree","Strongly agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
